baseline_model,baseline_OOF_MAE,baseline_OOF_RMSE,baseline_OOF_R2,baseline_OOF_F1,baseline_OOF_DAF,baseline_OOF_Precision,baseline_OOF_Recall,baseline_OOF_Accuracy,best_MAE_residual_route,best_MAE_representation,best_residual_OOF_MAE,best_residual_OOF_RMSE,best_residual_OOF_R2,best_residual_OOF_F1,best_residual_OOF_DAF,best_residual_OOF_Precision,best_residual_OOF_Recall,best_residual_OOF_Accuracy,best_residual_delta_MAE,best_residual_relative_MAE_improvement_%,best_residual_delta_F1,best_residual_delta_DAF
orb-v3,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,crabnet_frontend,MDS_E_32_cos_zscore,0.011428324712442513,0.0367365238528682,0.9983925761190825,0.912090890876734,5.524979685252549,0.9207833618884447,0.9035610040863982,0.9709724746364262,2.6224387606292587e-06,-0.02295210130470334,-0.00022577284477154347,0.0010197664308835286
mattersim-v1-5m,0.016427090698092565,0.04341301024934875,0.9977552183732716,0.857782339338931,5.470364018238507,0.9116812112291032,0.8099007589025102,0.955242583562614,crabnet_frontend,mat2vec+S64,0.016305130938646682,0.04292687383568887,0.9978052107646359,0.8576497548234483,5.447081863913519,0.907801048485955,0.8127495621716287,0.9550363281873265,-0.00012195975944588253,0.742430669479678,-0.00013258451548270322,-0.02328215432498748
mace-mpa-0,0.01950716158064608,0.043582365923698185,0.9977376702684336,0.8578677179984993,5.25340201883884,0.8755227073811145,0.8409106830122592,0.9535614076734783,crabnet_frontend,mat2vec+S64,0.01948967445724268,0.04337474189286385,0.9977591741570795,0.8580048893924035,5.260904711273726,0.8767730928588837,0.8400233508464682,0.9536625895556948,-1.748712340339867e-05,0.08964463297801573,0.00013717139390423405,0.007502692434885994
sevennet-l3i5,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,crabnet_frontend,mat2vec+S64,0.03421290038174753,0.06401720314223067,0.9951187877779973,0.762654240270084,4.660816466810885,0.7767634452865826,0.7490484530064215,0.9223000976794324,-0.0014488962128535801,4.062880592709484,-0.009749337465915553,0.13522035643630748
chgnet,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,crabnet_frontend,mat2vec+S64,0.04805919120777362,0.07330027753625516,0.9936005074838189,0.6269455810929672,4.142200462316868,0.6903318174162034,0.5742206654991243,0.8861120083436137,-0.006048113535178229,11.177998172171145,-0.0034199488233080944,0.7815296717038747
m3gnet,0.06416680547745708,0.10006673961791489,0.9880734784538187,0.5987972271955194,2.960567390237286,0.4934029353911333,0.7614477524810275,0.829948280491744,crabnet_frontend,mat2vec+H64,0.05664132657072136,0.09761800673215631,0.9886500442447015,0.604059434786831,3.7745582310885104,0.6290612121058886,0.5809690601284296,0.8730712203702479,-0.007525478906735723,11.727993704438902,0.005262207591311574,0.8139908408512242
