baseline_model,residual_route,input_root,path_model,path_route,representation,subset,n_rows,n_unique_material_ids,n_duplicate_material_ids,n_folds,expected_total,coverage_fraction,prediction_file,MAE,RMSE,R2,F1,DAF,Precision,Recall,Accuracy,TPR,FPR,TNR,FNR,TP,FP,TN,FN,baseline_all_subset_MAE,baseline_all_subset_RMSE,baseline_all_subset_R2,baseline_all_subset_F1,baseline_all_subset_DAF,baseline_all_subset_Precision,baseline_all_subset_Recall,baseline_all_subset_Accuracy,baseline_all_subset_TPR,baseline_all_subset_FPR,baseline_all_subset_TNR,baseline_all_subset_FNR,baseline_all_subset_TP,baseline_all_subset_FP,baseline_all_subset_TN,baseline_all_subset_FN,baseline_same_rows_MAE,baseline_same_rows_RMSE,baseline_same_rows_R2,baseline_same_rows_F1,baseline_same_rows_DAF,baseline_same_rows_Precision,baseline_same_rows_Recall,baseline_same_rows_Accuracy,baseline_same_rows_TPR,baseline_same_rows_FPR,baseline_same_rows_TNR,baseline_same_rows_FNR,baseline_same_rows_TP,baseline_same_rows_FP,baseline_same_rows_TN,baseline_same_rows_FN,delta_MAE_vs_baseline_same_rows,delta_MAE_vs_baseline_all_subset,delta_RMSE_vs_baseline_same_rows,delta_RMSE_vs_baseline_all_subset,delta_R2_vs_baseline_same_rows,delta_R2_vs_baseline_all_subset,delta_F1_vs_baseline_same_rows,delta_F1_vs_baseline_all_subset,delta_DAF_vs_baseline_same_rows,delta_DAF_vs_baseline_all_subset,delta_Precision_vs_baseline_same_rows,delta_Precision_vs_baseline_all_subset,delta_Recall_vs_baseline_same_rows,delta_Recall_vs_baseline_all_subset,delta_Accuracy_vs_baseline_same_rows,delta_Accuracy_vs_baseline_all_subset,delta_TPR_vs_baseline_same_rows,delta_TPR_vs_baseline_all_subset,delta_FPR_vs_baseline_same_rows,delta_FPR_vs_baseline_all_subset,delta_TNR_vs_baseline_same_rows,delta_TNR_vs_baseline_all_subset,delta_FNR_vs_baseline_same_rows,delta_FNR_vs_baseline_all_subset,delta_TP_vs_baseline_same_rows,delta_TP_vs_baseline_all_subset,delta_FP_vs_baseline_same_rows,delta_FP_vs_baseline_all_subset,delta_TN_vs_baseline_same_rows,delta_TN_vs_baseline_all_subset,delta_FN_vs_baseline_same_rows,delta_FN_vs_baseline_all_subset,relative_MAE_improvement_vs_baseline_same_rows_%,is_baseline_representation
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+S64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.04805919120777362,0.07330027753625516,0.9936005074838189,0.6269455810929672,4.142200462316868,0.6903318174162034,0.5742206654991243,0.8861120083436137,0.5742206654991243,0.0515135099795459,0.9484864900204542,0.4257793345008757,24591.0,11031.0,203107.0,18234.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.006048113535178229,-0.006048113535178229,-0.010817027479056732,-0.010817027479056732,0.002028128505620397,0.002028128505620397,-0.0034199488233080944,-0.0034199488233080944,0.7815296717038747,0.7815296717038747,0.13024835556371317,0.13024835556371317,-0.1465966141272621,-0.1465966141272621,0.026996104497534645,0.026996104497534645,-0.1465966141272621,-0.1465966141272621,-0.06171254051125909,-0.06171254051125909,0.061712540511259184,0.061712540511259184,0.14659661412726216,0.14659661412726216,-6278.0,-6278.0,-13215.0,-13215.0,13215.0,13215.0,6278.0,6278.0,11.177998172171145,False
m3gnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,m3gnet,crabnet_frontend,mat2vec+H64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/m3gnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.05664132657072136,0.09761800673215631,0.9886500442447015,0.604059434786831,3.7745582310885104,0.6290612121058886,0.5809690601284296,0.8730712203702479,0.5809690601284296,0.06851189419906789,0.9314881058009321,0.41903093987157036,24880.0,14671.0,199467.0,17945.0,0.06416680547745708,0.10006673961791489,0.9880734784538187,0.5987972271955194,2.960567390237286,0.4934029353911333,0.7614477524810275,0.829948280491744,0.7614477524810275,0.15635244561918016,0.8436475543808198,0.23855224751897255,32609.0,33481.0,180657.0,10216.0,0.06416680547745708,0.10006673961791489,0.9880734784538187,0.5987972271955194,2.960567390237286,0.4934029353911333,0.7614477524810275,0.829948280491744,0.7614477524810275,0.15635244561918016,0.8436475543808198,0.23855224751897255,32609.0,33481.0,180657.0,10216.0,-0.007525478906735723,-0.007525478906735723,-0.0024487328857585727,-0.0024487328857585727,0.0005765657908828326,0.0005765657908828326,0.005262207591311574,0.005262207591311574,0.8139908408512242,0.8139908408512242,0.13565827671475533,0.13565827671475533,-0.18047869235259784,-0.18047869235259784,0.04312293987850391,0.04312293987850391,-0.18047869235259784,-0.18047869235259784,-0.08784055142011227,-0.08784055142011227,0.08784055142011227,0.08784055142011227,0.1804786923525978,0.1804786923525978,-7729.0,-7729.0,-18810.0,-18810.0,18810.0,18810.0,7729.0,7729.0,11.727993704438902,False
mace-mpa-0,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,mace-mpa-0,crabnet_frontend,mat2vec+S64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/mace-mpa-0/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.01948967445724268,0.04337474189286385,0.9977591741570795,0.8580048893924035,5.260904711273726,0.8767730928588837,0.8400233508464682,0.9536625895556948,0.8400233508464682,0.023610942476347027,0.976389057523653,0.15997664915353182,35974.0,5056.0,209082.0,6851.0,0.01950716158064608,0.043582365923698185,0.9977376702684336,0.8578677179984993,5.25340201883884,0.8755227073811145,0.8409106830122592,0.9535614076734783,0.8409106830122592,0.02390981516592104,0.9760901848340789,0.15908931698774081,36012.0,5120.0,209018.0,6813.0,0.01950716158064608,0.043582365923698185,0.9977376702684336,0.8578677179984993,5.25340201883884,0.8755227073811145,0.8409106830122592,0.9535614076734783,0.8409106830122592,0.02390981516592104,0.9760901848340789,0.15908931698774081,36012.0,5120.0,209018.0,6813.0,-1.748712340339867e-05,-1.748712340339867e-05,-0.00020762403083433856,-0.00020762403083433856,2.1503888645857394e-05,2.1503888645857394e-05,0.00013717139390423405,0.00013717139390423405,0.007502692434885994,0.007502692434885994,0.0012503854777692336,0.0012503854777692336,-0.000887332165791066,-0.000887332165791066,0.0001011818822165278,0.0001011818822165278,-0.000887332165791066,-0.000887332165791066,-0.0002988726895740146,-0.0002988726895740146,0.0002988726895740701,0.0002988726895740701,0.0008873321657910105,0.0008873321657910105,-38.0,-38.0,-64.0,-64.0,64.0,64.0,38.0,38.0,0.08964463297801573,False
mattersim-v1-5m,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,mattersim-v1-5m,crabnet_frontend,mat2vec+S64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/mattersim-v1-5m/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.016305130938646682,0.04292687383568887,0.9978052107646359,0.8576497548234483,5.447081863913519,0.907801048485955,0.8127495621716287,0.9550363281873265,0.8127495621716287,0.016508046213189624,0.9834919537868104,0.18725043782837128,34806.0,3535.0,210603.0,8019.0,0.016427090698092565,0.04341301024934875,0.9977552183732716,0.857782339338931,5.470364018238507,0.9116812112291032,0.8099007589025102,0.955242583562614,0.8099007589025102,0.015690816202635682,0.9843091837973643,0.1900992410974898,34684.0,3360.0,210778.0,8141.0,0.016427090698092565,0.04341301024934875,0.9977552183732716,0.857782339338931,5.470364018238507,0.9116812112291032,0.8099007589025102,0.955242583562614,0.8099007589025102,0.015690816202635682,0.9843091837973643,0.1900992410974898,34684.0,3360.0,210778.0,8141.0,-0.00012195975944588253,-0.00012195975944588253,-0.00048613641365988225,-0.00048613641365988225,4.9992391364273026e-05,4.9992391364273026e-05,-0.00013258451548270322,-0.00013258451548270322,-0.02328215432498748,-0.02328215432498748,-0.0038801627431481744,-0.0038801627431481744,0.002848803269118516,0.002848803269118516,-0.0002062553752875118,-0.0002062553752875118,0.002848803269118516,0.002848803269118516,0.0008172300105539418,0.0008172300105539418,-0.0008172300105538932,-0.0008172300105538932,-0.002848803269118516,-0.002848803269118516,122.0,122.0,175.0,175.0,-175.0,-175.0,-122.0,-122.0,0.742430669479678,False
orb-v3,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,orb-v3,crabnet_frontend,orb-v3-baseline,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/orb-v3/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
sevennet-l3i5,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,sevennet-l3i5,crabnet_frontend,mat2vec+S64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/sevennet-l3i5/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.03421290038174753,0.06401720314223067,0.9951187877779973,0.762654240270084,4.660816466810885,0.7767634452865826,0.7490484530064215,0.9223000976794324,0.7490484530064215,0.04305167695598166,0.9569483230440183,0.2509515469935785,32078.0,9219.0,204919.0,10747.0,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,0.7914769410391127,0.051578888380390216,0.9484211116196097,0.20852305896088733,33895.0,11045.0,203093.0,8930.0,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,0.7914769410391127,0.051578888380390216,0.9484211116196097,0.20852305896088733,33895.0,11045.0,203093.0,8930.0,-0.0014488962128535801,-0.0014488962128535801,-0.005744494078791532,-0.005744494078791532,0.0009153215881076981,0.0009153215881076981,-0.009749337465915553,-0.009749337465915553,0.13522035643630748,0.13522035643630748,0.022535585918536327,0.022535585918536327,-0.04242848803269117,-0.04242848803269117,3.5024497690328005e-05,3.5024497690328005e-05,-0.04242848803269117,-0.04242848803269117,-0.008527211424408557,-0.008527211424408557,0.008527211424408598,0.008527211424408598,0.0424284880326912,0.0424284880326912,-1817.0,-1817.0,-1826.0,-1826.0,1826.0,1826.0,1817.0,1817.0,4.062880592709484,False
