baseline_model,residual_route,input_root,path_model,path_route,representation,subset,n_rows,n_unique_material_ids,n_duplicate_material_ids,n_folds,expected_total,coverage_fraction,prediction_file,MAE,RMSE,R2,F1,DAF,Precision,Recall,Accuracy,TPR,FPR,TNR,FNR,TP,FP,TN,FN,baseline_all_subset_MAE,baseline_all_subset_RMSE,baseline_all_subset_R2,baseline_all_subset_F1,baseline_all_subset_DAF,baseline_all_subset_Precision,baseline_all_subset_Recall,baseline_all_subset_Accuracy,baseline_all_subset_TPR,baseline_all_subset_FPR,baseline_all_subset_TNR,baseline_all_subset_FNR,baseline_all_subset_TP,baseline_all_subset_FP,baseline_all_subset_TN,baseline_all_subset_FN,baseline_same_rows_MAE,baseline_same_rows_RMSE,baseline_same_rows_R2,baseline_same_rows_F1,baseline_same_rows_DAF,baseline_same_rows_Precision,baseline_same_rows_Recall,baseline_same_rows_Accuracy,baseline_same_rows_TPR,baseline_same_rows_FPR,baseline_same_rows_TNR,baseline_same_rows_FNR,baseline_same_rows_TP,baseline_same_rows_FP,baseline_same_rows_TN,baseline_same_rows_FN,delta_MAE_vs_baseline_same_rows,delta_MAE_vs_baseline_all_subset,delta_RMSE_vs_baseline_same_rows,delta_RMSE_vs_baseline_all_subset,delta_R2_vs_baseline_same_rows,delta_R2_vs_baseline_all_subset,delta_F1_vs_baseline_same_rows,delta_F1_vs_baseline_all_subset,delta_DAF_vs_baseline_same_rows,delta_DAF_vs_baseline_all_subset,delta_Precision_vs_baseline_same_rows,delta_Precision_vs_baseline_all_subset,delta_Recall_vs_baseline_same_rows,delta_Recall_vs_baseline_all_subset,delta_Accuracy_vs_baseline_same_rows,delta_Accuracy_vs_baseline_all_subset,delta_TPR_vs_baseline_same_rows,delta_TPR_vs_baseline_all_subset,delta_FPR_vs_baseline_same_rows,delta_FPR_vs_baseline_all_subset,delta_TNR_vs_baseline_same_rows,delta_TNR_vs_baseline_all_subset,delta_FNR_vs_baseline_same_rows,delta_FNR_vs_baseline_all_subset,delta_TP_vs_baseline_same_rows,delta_TP_vs_baseline_all_subset,delta_FP_vs_baseline_same_rows,delta_FP_vs_baseline_all_subset,delta_TN_vs_baseline_same_rows,delta_TN_vs_baseline_all_subset,delta_FN_vs_baseline_same_rows,delta_FN_vs_baseline_all_subset,relative_MAE_improvement_vs_baseline_same_rows_%,is_baseline_representation
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,chgnet-baseline,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
m3gnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,m3gnet,crabnet_frontend,mat2vec+H32,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/m3gnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.05666907927598661,0.08854815728265161,0.9906611510050621,0.6043941330412026,3.7876820876951043,0.6312484108822781,0.5797314652656159,0.8735187556185132,0.5797314652656159,0.06772735338893611,0.9322726466110639,0.42026853473438414,24827.0,14503.0,199635.0,17998.0,0.06416680547745708,0.10006673961791489,0.9880734784538187,0.5987972271955194,2.960567390237286,0.4934029353911333,0.7614477524810275,0.829948280491744,0.7614477524810275,0.15635244561918016,0.8436475543808198,0.23855224751897255,32609.0,33481.0,180657.0,10216.0,0.06416680547745708,0.10006673961791489,0.9880734784538187,0.5987972271955194,2.960567390237286,0.4934029353911333,0.7614477524810275,0.829948280491744,0.7614477524810275,0.15635244561918016,0.8436475543808198,0.23855224751897255,32609.0,33481.0,180657.0,10216.0,-0.0074977262014704685,-0.0074977262014704685,-0.011518582335263275,-0.011518582335263275,0.0025876725512434806,0.0025876725512434806,0.0055969058456831755,0.0055969058456831755,0.8271146974578181,0.8271146974578181,0.13784547549114484,0.13784547549114484,-0.18171628721541155,-0.18171628721541155,0.04357047512676926,0.04357047512676926,-0.18171628721541155,-0.18171628721541155,-0.08862509223024405,-0.08862509223024405,0.08862509223024406,0.08862509223024406,0.18171628721541158,0.18171628721541158,-7782.0,-7782.0,-18978.0,-18978.0,18978.0,18978.0,7782.0,7782.0,11.684742828758322,False
mace-mpa-0,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,mace-mpa-0,crabnet_frontend,MDS_64_cos_zscore,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/mace-mpa-0/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.01950212356124609,0.04348912879726458,0.9977473396606669,0.8581712433257056,5.25871926783196,0.8764088707125295,0.8406771745475774,0.9536898308316761,0.8406771745475774,0.0237090100776135,0.9762909899223865,0.15932282545242266,36002.0,5077.0,209061.0,6823.0,0.01950716158064608,0.043582365923698185,0.9977376702684336,0.8578677179984993,5.25340201883884,0.8755227073811145,0.8409106830122592,0.9535614076734783,0.8409106830122592,0.02390981516592104,0.9760901848340789,0.15908931698774081,36012.0,5120.0,209018.0,6813.0,0.01950716158064608,0.043582365923698185,0.9977376702684336,0.8578677179984993,5.25340201883884,0.8755227073811145,0.8409106830122592,0.9535614076734783,0.8409106830122592,0.02390981516592104,0.9760901848340789,0.15908931698774081,36012.0,5120.0,209018.0,6813.0,-5.038019399987437e-06,-5.038019399987437e-06,-9.323712643360266e-05,-9.323712643360266e-05,9.669392233235818e-06,9.669392233235818e-06,0.0003035253272063443,0.0003035253272063443,0.005317248993120138,0.005317248993120138,0.0008861633314150019,0.0008861633314150019,-0.00023350846468184194,-0.00023350846468184194,0.00012842315819783234,0.00012842315819783234,-0.00023350846468184194,-0.00023350846468184194,-0.00020080508830754018,-0.00020080508830754018,0.00020080508830755406,0.00020080508830755406,0.00023350846468184194,0.00023350846468184194,-10.0,-10.0,-43.0,-43.0,43.0,43.0,10.0,10.0,0.025826511864165208,False
mattersim-v1-5m,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,mattersim-v1-5m,crabnet_frontend,MDS_E_64_cos_zscore,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/mattersim-v1-5m/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.01633295996426371,0.043013408858571675,0.9977963530234135,0.8583163737280296,5.458158486315717,0.9096470588235294,0.8124693520140105,0.9552970661145768,0.8124693520140105,0.016139125236996704,0.9838608747630033,0.18753064798598948,34794.0,3456.0,210682.0,8031.0,0.016427090698092565,0.04341301024934875,0.9977552183732716,0.857782339338931,5.470364018238507,0.9116812112291032,0.8099007589025102,0.955242583562614,0.8099007589025102,0.015690816202635682,0.9843091837973643,0.1900992410974898,34684.0,3360.0,210778.0,8141.0,0.016427090698092565,0.04341301024934875,0.9977552183732716,0.857782339338931,5.470364018238507,0.9116812112291032,0.8099007589025102,0.955242583562614,0.8099007589025102,0.015690816202635682,0.9843091837973643,0.1900992410974898,34684.0,3360.0,210778.0,8141.0,-9.413073382885315e-05,-9.413073382885315e-05,-0.0003996013907770768,-0.0003996013907770768,4.1134650141883e-05,4.1134650141883e-05,0.0005340343890986032,0.0005340343890986032,-0.012205531922790058,-0.012205531922790058,-0.002034152405573808,-0.002034152405573808,0.0025685931115002614,0.0025685931115002614,5.4482551962720116e-05,5.4482551962720116e-05,0.0025685931115002614,0.0025685931115002614,0.0004483090343610219,0.0004483090343610219,-0.0004483090343609941,-0.0004483090343609941,-0.002568593111500317,-0.002568593111500317,110.0,110.0,96.0,96.0,-96.0,-96.0,-110.0,-110.0,0.5730213314021767,False
orb-v3,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,orb-v3,crabnet_frontend,orb-v3-baseline,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/orb-v3/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.011425702273681884,0.03674356615748419,0.998391959781311,0.9123166637215055,5.5239599188216655,0.9206134094151213,0.904168126094571,0.971034740410098,0.904168126094571,0.01559274860136921,0.9844072513986308,0.09583187390542908,38721.0,3339.0,210799.0,4104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
sevennet-l3i5,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,sevennet-l3i5,crabnet_frontend,sevennet-l3i5-baseline,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/sevennet-l3i5/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,0.7914769410391127,0.051578888380390216,0.9484211116196097,0.20852305896088733,33895.0,11045.0,203093.0,8930.0,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,0.7914769410391127,0.051578888380390216,0.9484211116196097,0.20852305896088733,33895.0,11045.0,203093.0,8930.0,0.03566179659460111,0.0697616972210222,0.9942034661898896,0.7724035777359995,4.525596110374577,0.7542278593680463,0.7914769410391127,0.9222650731817421,0.7914769410391127,0.051578888380390216,0.9484211116196097,0.20852305896088733,33895.0,11045.0,203093.0,8930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
