element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-1.9268326398967657,1.7766737962420345,-1.0868121767681547,1.6917324207332634,2.6870220003431693,-1.7422300286987014,-0.7052513157874204,0.4350504717804034,-0.7819852649508485,-0.6783943761594392,0.1738908253607553,-0.7503169138416396,-0.0724513300737168,4.033715647903158,0.6775285110011713,1.6725692234926737,0.1849971906926504,-1.220832147623394,2.829439745212109,-1.8202630808176077,1.5330381555394943,-2.0453858818591715,-1.0567550123147562,1.2886695030847253,3.0458564332335043,-2.1261757629194507,0.5070696377742241,0.4010907868917743,0.14537326995861388,-0.8491659307477508,-2.4161872473118877,1.0989101453297525
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-1.1970075156443116,1.3967360936840914,-1.285646910069262,0.9823773395871604,-0.06902874578702493,-0.36856676379405245,-0.34002961549505906,-1.3282744036721352,-0.1560215411717338,-0.5864393522447394,-1.2535213754675796,0.6323321486443835,1.1788044585025403,1.9460521432862854,1.0840266675845263,1.9764075750893693,1.4804762206067792,-0.08808323784327221,1.6946776135708386,-1.4329803077432604,-0.29206217833058684,0.412339168827821,-0.14231278158932126,0.7881685793445422,1.2902289679867611,-1.8679434273314242,0.04466712777366389,-0.0714528106913604,-0.27361181444632954,0.5312820018682728,-2.418081217176966,0.9098234202268228
Be,-1.208016682347885,0.1969231799866424,0.7509654906286188,0.6772233317147032,0.055866526501194225,-0.9906196106623016,-0.8194567710940304,-1.0074980236032354,0.873205785756703,1.376520819470223,-0.7991105199597138,0.874637737312622,-0.28398118911275394,1.309965574782628,1.7089035216034365,1.0303358200657144,1.3867018470110446,0.08861419656446812,1.4140376173869091,-0.45604184797908487,-0.410640370182333,0.7509354741211115,-2.391337182175902,0.43591067045772347,1.3999021613702143,0.036299440736515316,-0.4987848802840701,2.0634035600229232,0.23687612669645963,0.5784786718335971,-1.6893631830063718,-1.0967040872743183
B,-1.6936469738990212,0.7229692224720843,0.4957595245473885,1.831839604681847,0.0041261148570313705,-0.05326668194155412,-2.5806966891379552,1.4954938440079366,0.7116371805157082,0.7093428338314711,0.49966950075655286,-0.5631138520493124,-0.502616838114379,0.9238528254128268,0.7969077548650451,-0.006789600740064102,0.9103763604095562,-0.5345716163271339,0.5240819706503375,-0.11903542842761183,1.1258339358727412,-0.16453606972668525,-2.5420889423756514,1.1789285540118992,2.408148018588559,1.4190767991954334,0.2595918538899992,-0.5684197217000703,0.46341297582291535,0.9328455339452653,-0.24211659960909843,-1.548670977818668
C,-1.4862645407522261,0.029256834731028154,1.5584414237087307,2.648882241820133,0.9628990708913444,-0.13527135476609764,-2.704799857051582,1.3676473022037257,-0.20260993714523232,0.024184928896439622,0.8526064464712265,-1.4329172240381123,-1.1451291180103036,1.0164059853107643,-0.8021550889834537,0.27742497359530555,0.36398317410624365,-0.2979905309608975,-0.5256681037737849,-1.0187482852517311,0.12597457971045092,-1.1551700007333634,-1.9665880991473812,1.6943399329023412,0.9426983024546559,1.4694557307571514,-1.7579338711164267,0.6898183523163186,0.9073757700879539,0.4252455625493985,-1.0411056357522734,-1.5666007084201312
N,-1.521605137650543,1.1304383857239648,0.13519731793060633,2.8895509286426293,1.470557798797201,-1.9498383431044992,-0.9712831367921763,1.984077186998173,-0.545264875995872,-0.7973936355990022,1.3718725518118509,-2.5020341127290746,-0.7367762573547343,1.410284481278582,-0.7708254722073262,-0.176965013620524,-0.869043484122468,-0.6471815489050675,1.29521449595325,-0.6800308420678564,-0.739812770724481,-1.613951763802367,0.34919933892325544,-0.3796871146447758,1.7080790232801317,1.1133267726143627,-2.245234800077464,1.3203259158746048,0.30774996709640173,2.0106053130987753,-1.4388581565312555,-1.8071204605016233
O,-1.5085734258751258,1.97051811971186,0.9921566884655929,3.2947566471451286,3.329707658397753,-1.6894761305858115,0.5220488105816642,2.7894390805830205,-0.7490632629958547,-2.359514131000837,0.2479128535709926,-2.429347005826241,-0.7380914356227412,1.5726903613697183,-1.3676908453027703,1.1974340589412835,-0.8578047146396109,-1.5146121128021084,0.0976128226220458,-0.7759614756925045,0.8145820653213857,-2.177418529429881,-1.4041930482881833,1.2424669732312659,1.6162632761287397,-0.6744599527303741,-0.01880029992977046,1.3606094008996545,0.9445966399658453,1.806190288568382,-0.9584072578255395,-1.3656129576457108
F,-2.0049712087424747,2.5354016800192394,0.13853633422860542,2.514117075705088,3.5027603866119614,-1.7145603931579478,0.9342485691953728,1.0136952789389844,0.38643443848380865,-2.454921539396109,1.799914163160629,-3.3074910330773513,-0.32944539601768585,1.5994970738817436,-0.852526104361262,0.7743047183803015,-0.2331440830042768,-0.856616216011806,-0.9674287960815391,-0.6164832103370982,2.2873181494199155,-1.4523937876854183,0.069515696072465,1.2988726420623908,0.8073217088907139,-1.7201021161375336,-0.5652668799331746,1.6456712920503738,2.3769453703080208,0.45806560265569046,-2.749027971519076,-0.6696023868514814
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
