element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,-1.0242548632197013,-1.3906892625114617,-0.04333743674966752,1.1580798425624554,-0.008043663649000422,1.1091209751154765,-1.7114131729748137,-0.6334410200025538,1.0433603761758443,1.0511349360658786,-0.9063742052905769,-0.6472205301613118,-0.9269631718819163,-0.9705665948512217,0.6781002342276914,0.6630755320843907,-0.6697175351864642,0.8483153507089504,0.4895224093412149,-0.7994557034622239,-0.039962910772922126,0.49503865251186663,0.40502911241807654,0.017220575183497618,0.21198318711386552,-0.26899215380015107,0.5157468424314668,0.19988586084188206,-0.2317238405633211,1.0486615581771939,1.3505357012357504,1.6699111537902633,-0.09242456066075819,-0.5765636293912925,0.3334969187702961,-1.518696649385149,1.4319775138780033,-1.325454813651728,-1.3698867262336263,-0.27536311609883724,-0.684223003943745,1.2352874769958848,-0.33607747505611535,-0.5888887419976936,-0.5645947975030275,0.02370692780985248,-1.9489233264053059,0.8939989820770545,0.3243115672647176,0.700966892430483,1.3077697201469929,1.2903903728274677,2.0651838006514156,-1.185359073625994,-1.0041320653220887,-0.44949120508520635,0.9442894844336173,1.7711576930745305,1.635962193293502,-1.2807361317448995,2.392572478299416,-0.157936314433622,-0.978922661162173,-0.9898863885178665
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-1.0996133416676335,-1.9699973303312017,-1.0968529367560351,-0.8547961073139477,-1.0376866305879069,-0.7802886975380203,-1.502273817184072,0.35964655084144137,-1.3106542943262895,1.789545241784513,1.0065301277965757,0.020455247835969456,0.14477677202553405,-0.44651426496064134,-0.1996249287530939,0.5211874253536155,-1.008574030463879,0.9137190567769796,1.6065422037649004,-1.1892971420359644,-0.3574965009512371,-0.954347287665843,-1.1208653954203052,-0.20696953581775493,-0.11150196732808366,0.8178374312944304,-1.7034432127554755,-0.4941071251636095,0.8019616799213438,0.7217722993052811,-0.5701813074367335,1.2061353005247386,0.5383103868888762,-0.08222055049300918,-1.0823422735724404,-0.6915729612544896,0.8230895023307163,0.49113910498510577,1.0083289600496486,0.21952024988578997,-1.69026691829615,-0.9699044091542828,-0.5685440468003048,1.2307117528845675,1.311650894872459,0.3789789684395657,-0.5835263685527295,-0.42747130389528676,-0.05717806852640273,-0.7428723697312193,-1.4238583281994202,-1.5182743582548273,-0.9590566306617573,-1.0083998603098892,-1.1047484673740422,0.45270672626225467,-0.5343924321568235,1.8633578501812265,-0.6641861479584827,-0.49526072007410965,-0.4196395863363494,-1.415052665393551,1.453958486104131,-1.9770275667669484
Be,1.805773965134493,-0.47320139289358515,0.21279300211580005,0.8049838190501017,-0.3344521577071107,-0.6709867448773692,-0.06176005292436085,-0.787062321438375,0.9175121678993806,-0.2984850629160306,0.8351624165450814,0.521234444412096,-0.09594073924132668,-0.5277281083434195,0.11702906072261576,0.06882664128640881,-1.279845040132573,0.5386086630161813,0.31860617234779987,0.5673059418398081,-0.05470766556793853,-0.8596273088674226,-0.553272286469856,1.1889266649260548,0.03910415334534515,-0.8357679992228847,-0.6601239772930361,-0.9359766073352733,2.164137399506328,0.24701801308622814,-0.9948757437383589,0.3634868885651522,-0.6731735380026567,1.9552271465614843,-1.278127865045896,0.694365504383014,-0.7338553678372124,0.541081484770488,0.7704207069339839,0.872357185285829,0.09201869324936278,2.2147748120007074,-1.374889042993496,-0.02197603980421126,-1.1584563139938076,1.4870628759847264,-0.9317521367536703,1.504857800870082,0.5769176086280718,-0.8710816874547266,-0.4044936503141715,-0.6074283873851726,-0.02809857587792809,-0.7630038427073265,-2.0942669151683546,1.5874342912928698,1.2510585734566726,-1.0156972026325344,-0.47624019099554477,-2.077771894719654,0.39942335667338696,1.3911767118198535,0.07505268640472651,-0.5030780603700432
B,0.620916752312929,1.403494686488593,1.397321982285086,-0.443164221664362,1.112347514761318,1.4583611106849155,-1.0201074444735265,-1.3184513213572813,-0.1736240664859827,1.035025205708122,0.13569512614212045,0.3045566108527651,-0.39038722386682245,-0.16607788420904726,-1.4442121587164993,0.17371429012944645,0.3900428140063752,-0.9968057080538767,0.6191345237177771,-0.6811486811988047,0.43004308352938586,-0.3273533690489802,0.5332621048428525,-0.9166910031918176,-1.1828399546562156,1.2560352939289083,-0.937782898020361,0.9363425559413249,2.350961914584306,-0.761809610926174,-0.6518516107599597,0.883814405235826,2.1279035813196137,1.3734332048089568,0.5604574611516828,0.6518285386212469,-1.2354124338633916,1.212790759102067,0.8628519116380645,-0.7861808327339335,-0.6285135818791758,-0.9252090383239875,-0.5401375700994393,0.9604946340962024,-0.8098209833883317,-0.9000610067428674,-0.8835159062937493,1.555488798409019,0.49930339539391394,-0.6140745870495025,-0.8565664865718201,1.8019275114411162,0.6245506960793215,-0.7153573359484888,-1.556274779911054,-1.5529488753766698,-0.8195197641691604,0.2817560802606433,1.346406909610876,0.21141990305041206,1.6158504705643337,0.19607194275320214,0.4403120720850357,0.5805705181008546
C,0.01183440826519851,1.8825347082233852,-0.35550918810907184,-0.4857685177922287,-0.042617621112651,-0.016666258909654227,0.3382389218421639,-1.2647352345966292,0.3982942493687499,-1.1846815594756204,-0.7577767499794626,1.0569439574828194,-0.1657085650724635,0.1193013786382456,-0.822263765151397,0.9458798675387841,-1.0839343169236948,1.2388235114058448,-1.0431808788942174,0.7121672481210518,-0.8419290972968314,0.6636634583896427,-1.0383471431606965,1.6680097673934364,-1.0913726932817058,-0.6524411551539493,-0.48967246199152553,-1.5004760774481707,-0.492629012056394,1.2940759050118367,1.8157097996401192,0.010099374335168058,1.951389413387901,0.9479768532353252,-0.7672495981708569,0.569409194098903,0.2665791899271099,1.261889944906972,-0.5949176485499439,0.30455280859017697,-1.920605439584656,-1.1439043809042937,-1.4132041733042808,1.7954298835845932,0.4492667407552593,1.6469005578204678,-0.08657464859082876,-0.5295996256828969,-1.4323521525050982,-0.7173179314980517,0.18643741458418092,0.5274076677659839,0.6348886100699631,-0.8964352399266097,-1.5267338586572874,-1.2237637651128281,-0.9562922036234781,1.5194251457932757,0.1339977645984788,1.4891295794177504,-0.061026470703319916,-0.8052983687584846,-1.1689426173541273,0.5341820721767864
N,0.9077232916065646,-0.6276132173844209,0.9006958354209095,0.5536673950960359,1.6428327158395692,-0.4189135303116062,-0.09235317099239956,-0.9612981281724792,-0.6614422392543368,1.7231546308379804,-0.5272531354490366,-1.419810076331664,-1.3352962734228377,0.5429517700920158,0.7172333080750883,0.18310184671874297,1.4903605492083978,-0.9576543027404756,-0.36047774606622607,1.0537554931415627,-1.2411233690032781,-1.1646498794182516,-0.16847411553105993,1.181832343696905,-1.5124722215246258,1.3866501952210297,0.8656554366913307,-1.5761499668379044,1.0024376400797474,-0.4409838047866564,-0.2589048993328779,0.7367763209219306,1.973028003744767,-0.30215545661699716,0.03526289179327221,-0.33159873242599536,-0.5774745784534709,-0.9974690611802816,-2.0341706194726865,0.3847259776785525,-0.40106850894229207,-0.6691090534066565,1.5057953698387707,1.2780583458261252,-0.7645442371368664,-0.05025976397539043,0.16296819564447218,-0.2779649512485728,-1.4299567119796273,1.0929853257004525,-0.8442861709245961,-1.0122896696903474,-1.0212786335549144,-1.2871894580434187,-1.196145450109271,1.648294319191406,-0.9516974207703615,-0.7758174137665456,-0.5545280938800068,1.2903771795976573,0.5231373266809454,-0.14257030509939125,1.5755595763866561,-0.5033105061524857
O,0.932221253349159,0.23864687013467767,-0.7994018495056808,-0.2115649981921287,2.5212024391398087,1.1674167648651483,-0.9214268421997366,1.2277186262766084,-0.1054433911202037,-0.33010536615147223,-1.593558793980962,-1.0813961121732014,-0.09680190439986812,-1.2171576124013792,-0.6184626206042579,1.1184917585302936,0.5585603699117718,0.35560622886404364,1.2534765075981362,-1.7087021225572185,0.21104370187762064,1.1232195632825883,0.25006047249878416,-0.2838299044947116,-1.1031773794030109,1.236926441816518,-0.3577356903833984,1.369090744306206,1.290987417184113,0.5522496831887651,0.8225997193421386,0.9763072376443725,-0.36317381059065884,-0.0586708767981975,1.121333464602961,-0.6265583268671457,-0.1675963897388011,-1.1145172420457135,1.0459739192449555,-2.1050282849252366,0.0031172397019679637,0.04090129410459466,-0.34791755527437385,2.0406335818773953,-1.5688495418680894,0.7628378532260369,0.06741627191816274,1.201960130379345,-1.7417015914532832,0.9731138706190401,0.3288748156952291,1.7553173963564885,0.13499688406556984,0.6754774226269764,1.1231510136604772,2.0042885690781307,-0.2992793284481102,-1.0374697650093483,0.2678587770555078,-0.14692827303961514,-0.1604729997297598,-0.6095831931976398,1.0113084864600912,-1.1808383217559721
F,-0.060595851817809326,-1.5070427968096884,-0.8931643886250927,1.493398978978344,2.1972229205428047,0.9581073860614971,-2.5506152768644133,-0.4854272529293392,-0.3398138520874224,-1.3956522224206867,0.8834916501801182,-0.09720063801230795,-0.9799677478386222,0.7061670719093744,0.7560904629114037,-0.9963952443187003,-0.23453426631835744,-0.40019090870725205,0.16647410284280334,-1.3905027443003652,-0.08681680914935648,1.6992412827982113,-0.2569639637887144,-1.7306556482158595,0.8109249716041748,-0.6065941996898547,0.86698205290383,0.004397312136276603,-0.30770541091344394,-1.3788047382912572,0.7129532596501426,-0.6586551706060847,0.9282086025254362,-0.42671805348318104,-0.44956032882482905,-0.6339008771842518,1.9584511569253151,0.7938421920856197,-0.7795882160890597,-1.0757180531600126,-0.9948625484959083,-0.1372981561472885,0.5911671407941672,1.5396727941468853,1.8934305801634954,-0.13180853411447363,-0.6538175715808525,1.7028892801291504,0.905420872589526,-1.6101188941829963,-0.33622213555340275,-0.13367476459260588,-0.592390134951161,-1.267679807996519,-1.341024805013229,0.9176610449093447,-0.6724040249635974,-0.8738826507210399,-0.16516210830016684,0.8293365706754557,1.3722644954386523,0.0083944932936573,0.17394224628598268,0.612117983404925
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
