element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.6907536255765524,0.05612304201782072,-1.3716654437280806,-1.0563497122200638,1.0151297028535267,1.1755668918918976,-0.5689608535642057,-1.0384292035987304,-0.10016407267854681,0.04676461814052532,-2.018887440622389,-0.8838278215978953,0.789920387013098,0.6392863653871447,-1.3953854454161567,-1.2304311457544093,-0.4857017609943747,0.7081183759259259,-1.9568641065103745,-1.4897783220586376,1.0798349967956398,-0.7511621442775928,0.6703312609587704,-0.31315636575016964,-1.2418187275191575,-1.0229091029831365,0.9348751036173701,1.3273808469875137,0.8139208276280128,-0.3696740565430524,0.6562749144735418,-1.1358670225317649
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.9594164003868851,1.0126629243016776,0.6493357094759025,-1.4320998630387238,-0.21834681974129116,1.4500570137384892,-1.10173078848872,-0.6470709457064788,-0.34234085610452375,0.7094447720375079,-1.8163539184907656,0.7233810700919079,1.3955593398896766,1.4239034594115272,1.0350163156741266,-1.0406995919038569,0.4035663708208051,-1.5915855113317758,-1.0698477274810019,-0.7445675203609374,0.7078904059720516,0.3640499606152213,0.5154494906463832,-0.02530344033163125,-0.6934047957341907,1.4909599287617774,-0.09280129674570467,-0.702496031786993,-1.0143461181950961,1.159226935328754,0.7085737790925313,-1.7241088732505794
Be,-0.5301851146082934,-0.45349388953205455,2.2150553700176463,0.2887741546984385,0.20750602176261893,0.14661924882712365,1.2082617130762796,0.20046211130926309,0.16748004314681567,-0.04837362659482813,-1.3649018174763472,0.4524418372907359,-0.4489183101160862,-1.634791991069772,1.4431129518627277,-1.3546474696092103,1.5999402581826274,1.2618184712441978,0.30639788074423024,-0.7408810880276749,-0.4017778002839744,0.7167634065199987,0.17255903361345837,1.191312968147802,0.787933215725473,1.6151526780070642,0.1290186019886106,0.5254555925247014,1.7104802967226127,-0.17390542341640786,-0.707624432010867,1.0848773028316312
B,-0.9087173208669601,0.3754146608338617,0.6688849781932369,-0.01609092831733005,-1.460937468330792,0.8576263347684235,-0.38287931884910553,-0.7787120059923571,-1.9443747566557288,0.7584807777155322,0.21168806625612097,-2.0311613639099195,0.19655225782615376,-0.6103207061237987,0.11527455859171261,-0.7002158184294511,0.8434780644144996,0.45062576408598304,1.8516418239059886,-1.6186833939680685,-0.6001528882622392,-1.2943234305809208,1.497101042819202,1.3127712965825955,-0.30732378749442324,0.6512026516199433,1.0620796944870852,0.21147369121454757,0.0024825595533564675,-0.12582402063377865,-1.0718676276826788,1.2951654510666912
C,-0.19121937999140307,0.7780857336282212,0.6002576046235728,-0.8436787408221266,2.1536703595325304,0.93726012865479,0.2796444018498519,0.20313141671055296,-0.4767986339145893,-0.1975524431005699,-0.16580698798064325,0.48865131408756274,-0.925156924948411,-1.4595235827404245,-1.8813836209208346,-1.743190636068441,0.9191009393072079,1.0326907256127629,0.24886011248839904,-2.1109153459363537,-0.015926200073551916,-0.15749262173795409,-0.8024482545247965,0.327479814413341,-0.3691920264125152,0.33301233108082207,0.4106048087438418,-1.6797640932952183,-1.7817041047600801,0.6508898373561604,0.21537999036535474,1.1468080379326768
N,0.7588508081320771,-0.8279474452935488,-0.6388399833619958,-0.3206837318560429,1.6037181508863094,-1.1794473168536486,1.5415576917384153,-0.0794085444609494,-0.025046481902056203,1.2163763697963317,-0.6024832768593955,0.42451116492588664,1.3659199604935746,-0.03364299711560707,-1.043597782354786,0.15417305598223932,2.0674459350750785,-0.716111635063055,1.263149644200549,-0.2471209893806121,0.9567801669546986,-1.2127453313711019,0.8283171637313174,1.5367404396425404,-1.3133219503939557,-0.24839518358364684,1.662061997613499,-0.9630515501931943,0.7481001505673122,0.3270136684770578,-0.8694841856817186,0.7819212672476413
O,-1.7187765241557826,0.39303881877493485,-1.1840857743980253,0.2515464249873134,0.5283763318266747,-0.9083845654192058,0.17940580458016384,-1.6086028298707284,1.4594707004911032,-0.4134800637972223,0.29939641586104443,-0.3308593386591791,-1.1749710270372598,0.2673109476795552,1.4559630064892528,0.5413018093197935,0.7535965854111116,0.9785796929971742,-0.9996947859106871,-0.8180378344826505,0.19250498162608567,0.41945333355941045,1.3962355362047794,1.9301071468220035,-0.837038643864845,-0.9717239646181992,1.2160020696541562,-0.5595349306935486,0.7662178538068404,0.25967368582028216,0.7719857275798089,-2.0132484923380933
F,-2.2115169751578474,0.7567162487958733,-0.9024413546794054,0.48838599311575864,-0.6293945793297903,1.0801492034490283,0.4957685623727776,-0.5482672935385022,0.3732301479813555,-0.48719803402016876,-0.5980492066043469,1.0029323624096889,0.40754216615589645,1.7254515055571071,-0.7879879313657895,1.2291539760998684,1.7023995119693107,-0.8225220574253804,-1.3827946530619346,0.3501589529757802,0.9233699931810024,1.0212271225263911,-1.270327715731918,0.8417234812917135,-1.513336224742979,-1.1552574101054478,-0.4299318636718369,1.52787460373515,0.7875173102979325,0.07868602683419933,-0.8447512663063659,0.5714570491142925
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.20102175584872,-0.7940438233697191,0.003760656210770633,0.3195148965171891,-1.2839906841199684,-0.4211538860463029,1.2160669974922222,-0.8513856523005133,0.7888221122647325,-0.3332580081120391,0.19050357213413308,-1.963572393929047,1.636974002580891,-0.6351652937958222,0.08468391206314296,-1.8533304525472913,-1.096348133997722,0.4360888285050452,-0.5133113895501409,1.5634499712231456,0.5019889101763012,-1.1903631696076726,-0.0908732057915065,0.23476809850987077,-1.7382998921255448,-1.3185055968446209,-1.0475364268077616,1.3283436633850838,0.00547768720154017,0.2743841894505224,1.399264786791766,0.9296705813830153
Mg,0.8221680597516445,-0.008072019364868427,0.5611660604986297,-0.3768491848954015,-1.971056573724789,-0.9149349851483025,0.1830318194946921,-0.36065408589131925,-1.0928121214404418,0.5166616548907479,-2.236131155314971,-0.0345601599172401,-0.7955666722801248,1.0413239051573702,-0.27967110795896866,-0.02091512141451917,-1.826300617053385,-1.0867231257682919,-0.5292769051185156,-1.0072227226177857,0.9239824629040742,-0.8121140614475746,0.9359017569848019,1.2751843527966176,0.981739052481463,-1.102875034053459,-0.05029143166061432,-1.1110434933221287,-1.0710272774815137,1.725062075115469,-0.9725097485598466,-0.3965089919680028
Al,-0.9301170910038791,-0.6474117006696379,-0.8601323153991145,0.5458602358450767,-1.0124797197499344,1.6479112196635382,0.671044191070467,-1.2716059390994647,-2.321907897856325,1.5057294771382275,0.01745559393473557,0.46749839272807614,1.0554057139467743,-0.9570485143059552,-0.4733800933445794,-1.178823114675563,1.3531004370760655,0.637798895815298,-0.6680493370872954,-1.5844256926630478,-0.3850690191220336,-0.6083774029900828,0.9179375967992746,0.3048564307560935,1.8443419939211063,-0.23125766579631066,-0.9207101333137314,0.6985166657348091,0.22544109162784493,0.1855220090392982,0.40793872228656897,-0.3649899211675844
Si,-0.8656236922829964,0.9047615664042651,0.23181509045088833,-1.8399572451812536,0.17808854887822584,0.6163424807297877,-1.2653690148687309,1.2867482448845695,0.8553836818370456,0.5401535601075248,2.08230138636919,-0.1652517548471421,1.5376887324427757,0.6727167956931652,0.2238614283891933,-0.936946446879258,0.7708084845028672,0.1275829723271967,-0.60571697152536,-1.8873887050399947,0.18846983527124803,0.7367450708717496,0.6892128392670474,1.3189016844553532,-1.3039351892682767,0.3035074839413843,-0.9349484059298194,0.9188720211816096,0.9852654168717774,0.6015610047790947,0.3315461309001027,-0.8789807663420189
