baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
chgnet,crabnet_frontend,full,mat2vec+S64,test,all,0.0480591799486067,0.0016999812619901,0.0732395376678338,0.0033350780928499,0.993483645256798,0.000931695295766,-0.0060481109005883,0.0005297798159583,-0.0107844108530705,0.0011465122347669,0.0020655577675722,0.0003863149444303,0.6255291156269042,0.0164920300417706,4.17032430493999,0.3699168663803536,-0.004311552620627,0.0139621008149943,0.7905121201362333,0.0989428988956971,0.78,0.0758287544405155,252.9822130134704,141.42135579009593,189.7366600101028,173.20508020916515,0.047957996224388,0.0006555192778052,51392.6,0.547722557504917,1.0
chgnet,crabnet_frontend,full,mat2vec+H64,test,all,0.048075341368078,0.0016954946563712,0.0748068450280046,0.0052691273698371,0.9932141165368168,0.0009654906062376,-0.006031949481117,0.0005339055132327,-0.0092171034928997,0.0039057823899664,0.0017960290475908,0.0008291698136863,0.6252488053550971,0.0166777625314027,4.158599364656238,0.3659278553585807,-0.0045918628924342,0.0140442301975368,0.7787871798524819,0.0974328511881911,0.78,0.0758287544405155,252.9822130134704,141.42135579009593,189.7366600101028,173.20508020916515,0.047882541349313,0.0007049396460822,51392.6,0.547722557504917,2.0
chgnet,crabnet_frontend,full,mat2vec+S32,test,all,0.0481142765799623,0.0018192529828784,0.0737752791350235,0.0034784064610694,0.9933925019356288,0.0009072667343742,-0.0059930142692327,0.0005192317460484,-0.0102486693858808,0.001362983995317,0.001974414446403,0.0004303488521189,0.6262594645674222,0.0183874773074607,4.180001775411968,0.376421062864346,-0.0035812036801091,0.0148804272357459,0.800189590608212,0.1181650242518951,0.77,0.0836660026534075,252.9822130134704,141.42135579009593,189.7366600101028,173.20508020916515,0.0479614809530287,0.0006279252446894,51392.6,0.547722557504917,3.0
chgnet,crabnet_frontend,full,mat2vec+L32,test,all,0.0481592500946865,0.0017172168596874,0.0749191663461474,0.0048935543311213,0.9931936156405404,0.0009410946961681,-0.0059480407545084,0.0005694959102876,-0.0091047821747569,0.0034311991671039,0.0017755281513146,0.0007473016688098,0.6261138288799399,0.0157640044103173,4.213961308845166,0.3896097184170874,-0.0037268393675913,0.0126997591261285,0.8341491240414086,0.1275923336871199,0.78,0.0758287544405155,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.0479707922710395,0.0006504744617894,51392.6,0.547722557504917,4.0
chgnet,crabnet_frontend,full,mat2vec,test,all,0.0481679100038469,0.0017259486783908,0.0737396188959393,0.0033887864986824,0.9933946199152917,0.0009436098646553,-0.0059393808453481,0.0005399064995032,-0.010284329624965,0.0011774273792492,0.0019765324260657,0.0003823421405535,0.6263930034404578,0.0154283751083712,4.203289408739996,0.3795134192067127,-0.0034476648070734,0.0122098661647762,0.8234772239362392,0.115068735717948,0.77,0.0570087712549569,252.9822130134704,141.42135579009593,189.7366600101028,173.20508020916515,0.0480278594596827,0.0006671814272262,51392.6,0.547722557504917,5.0
chgnet,crabnet_frontend,full,mat2vec+L64,test,all,0.0481882564931395,0.0017286398034908,0.0746101451400686,0.0042816216395416,0.9932459900388546,0.0009279406652659,-0.0059190343560555,0.0005001192766913,-0.0094138033808357,0.0025342694060324,0.0018279025496287,0.0005921944401385,0.6279299357993035,0.0137586233405333,4.195128186158405,0.3792318871140848,-0.0019107324482278,0.012695628136246,0.8153160013546483,0.1145958498200165,0.76,0.0741619848709566,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.048060315018145,0.000623613910992,51392.6,0.547722557504917,6.0
chgnet,crabnet_frontend,full,mat2vec+H32,test,all,0.0482098705357344,0.0017591326045744,0.0799157815819053,0.0152575530435112,0.9921576528741836,0.002759543289694,-0.0058974203134606,0.000527721853494,-0.004108166938999,0.0145531565449952,0.0007395653849577,0.0030068473772484,0.6273527486198526,0.0156846313538092,4.191145760382237,0.3794457571144041,-0.0024879196276787,0.0128187207419261,0.8113335755784806,0.1150428203453433,0.78,0.0758287544405155,252.9822130134704,141.42135579009593,189.7366600101028,173.20508020916515,0.0480100985567359,0.0006550390152985,51392.6,0.547722557504917,7.0
chgnet,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.0494623484714594,0.0018025985862676,0.076208934223564,0.0035730874412132,0.9929407744959584,0.0010480704443883,-0.0046449423777356,0.0005235372666225,-0.0078150142973403,0.0008737951731019,0.0015226870067325,0.0002711764987222,0.6245043183592904,0.0152114269680131,4.116477291847255,0.3365813902499084,-0.0053363498882408,0.0140610593613078,0.7366651070434983,0.0758564903377406,0.73,0.0570087712549569,100.0,0.0,100.0,0.0,0.0491952945989626,0.0008777953632251,51392.6,0.547722557504917,8.0
chgnet,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.0494737603290945,0.0017913651501076,0.0762932170042693,0.0035164474823022,0.9929292052304636,0.001009620280388,-0.0046335305201005,0.0004221111093121,-0.007730731516635,0.0009887201562146,0.0015111177412378,0.0003100336458872,0.6253653759246788,0.0146344934307108,4.004994360759157,0.3451156941122594,-0.0044752923228525,0.0124459482844342,0.6251821759554002,0.0805669564310015,0.7,0.0707106781186547,2.729822128134704,0.9669999668731372,1.864911064067352,1.1843282500637111,0.0493289581262366,0.0008973296872114,51392.6,0.547722557504917,9.0
chgnet,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.0496806479908961,0.0018209649612314,0.0770589650777232,0.0036502686990962,0.992786008439306,0.0010398167246959,-0.0044266428582989,0.0004160752397714,-0.0069649834431811,0.0008288752694936,0.0013679209500803,0.0002743548264574,0.6265751265250998,0.0138944950156534,4.0036631938972445,0.3384118728742663,-0.0032655417224314,0.0122666257156671,0.6238510090934881,0.0766750534441522,0.7,0.0707106781186547,0.3162277660168379,0.0,0.3162277660168379,0.0,0.0495011823924013,0.0009032331076384,51392.6,0.547722557504917,10.0
